,nodes,steps,airtemp,humidity,rainfall,landtemp
0,1,1,30.0,0.2303856,3.469447e-15,30.0
1,1,2,30.0,0.2299586,8.326673e-14,30.0
2,1,3,30.0,0.2418172,7.979728e-14,30.0
3,1,4,30.0,0.24581358,0.0,30.0
4,1,5,30.0,0.2217867,0.0,30.0
5,1,6,30.0,0.22203013,0.0,30.0
6,1,7,30.0,0.31683466,0.0,30.0
7,1,8,30.0,0.2607638,0.0,30.0
8,1,9,30.0,0.18192406,0.0,30.0
9,1,10,30.0,0.19685876,0.0,30.0
10,1,11,30.0,0.19009131,0.0,30.0
11,1,12,30.0,0.18981759,0.0,30.0
12,1,13,30.0,0.18747443,0.0,30.0
13,1,14,30.0,0.19119515,0.0,30.0
14,1,15,30.0,0.21584274,0.0,30.0
15,1,16,30.0,0.2812913,0.0,30.0
16,1,17,30.0,0.2612186,3.469447e-15,30.0
17,1,18,30.0,0.18750389,7.979728e-14,30.0
18,1,19,30.0,0.1761026,0.0,30.0
19,1,20,30.0,0.19765125,0.0,30.0
20,1,21,30.0,0.20147677,3.469447e-15,30.0
21,1,22,30.0,0.14868376,8.326673e-14,30.0
22,1,23,30.0,0.15486886,7.979728e-14,30.0
23,1,24,30.0,0.17803831,0.0,30.0
24,1,25,30.0,0.20088056,0.0,30.0
25,1,26,30.0,0.21422663,0.0,30.0
26,1,27,30.0,0.23859613,0.0,30.0
27,1,28,30.0,0.2584461,0.0,30.0
28,1,29,30.0,0.26526222,0.0,30.0
29,1,30,30.0,0.16656472,3.469447e-15,30.0
30,1,31,30.0,0.19169062,7.979728e-14,30.0
31,1,32,30.0,0.22999372,0.0,30.0
32,1,33,30.0,0.32814392,0.0,30.0
33,1,34,30.0,0.38700488,3.469447e-15,30.0
34,1,35,30.0,0.20073599,8.326673e-14,30.0
35,1,36,30.0,0.2093809,7.979728e-14,30.0
36,1,37,30.0,0.24796973,3.469447e-15,30.0
37,1,38,30.0,0.18504383,7.979728e-14,30.0
38,1,39,30.0,0.15886153,0.0,30.0
39,1,40,30.0,0.16504726,0.0,30.0
40,1,41,30.0,0.18194433,0.0,30.0
41,1,42,30.0,0.17897877,3.469447e-15,30.0
42,1,43,30.0,0.14946878,7.979728e-14,30.0
43,1,44,30.0,0.169305,0.0,30.0
44,1,45,30.0,0.1824617,3.469447e-15,30.0
45,1,46,30.0,0.18665983,7.979728e-14,30.0
46,1,47,30.0,0.19941399,0.0,30.0
47,1,48,30.0,0.2152918,0.0,30.0
48,1,49,30.0,0.40557337,3.469447e-15,30.0
49,1,50,30.0,0.46215788,0.04910623,30.0
50,1,51,30.0,0.491886,0.15861674,30.0
51,1,52,30.0,0.48083824,0.0727214,30.0
52,1,53,30.0,0.47028908,1.3036557,30.0
53,1,54,30.0,0.55223876,3.9194028,30.0
54,1,55,30.0,0.70076066,6.676046,30.0
55,1,56,30.0,0.5599838,0.89311385,30.0
56,1,57,30.0,0.5967836,0.13380878,30.0
57,1,58,30.0,0.49200898,0.12838753,30.0
58,1,59,30.0,0.4854887,0.0071555916,30.0
59,1,60,30.0,0.4234703,3.469447e-15,30.0
60,1,61,30.0,0.42025685,7.979728e-14,30.0
61,1,62,30.0,0.3623373,0.0,30.0
62,1,63,30.0,0.46753514,0.03843344,30.0
63,1,64,30.0,0.4568385,0.0,30.0
64,1,65,30.0,0.46883994,0.0016769376,30.0
65,1,66,30.0,0.53107977,2.180894,30.0
66,1,67,30.0,0.5833216,0.01903757,30.0
67,1,68,30.0,0.4750519,0.0,30.0
68,1,69,30.0,0.52540624,0.0,30.0
69,1,70,30.0,0.48248214,0.0,30.0
70,1,71,30.0,0.5027512,0.08784414,30.0
71,1,72,30.0,0.5054665,0.6525909,30.0
72,1,73,30.0,0.47978616,6.938894e-15,30.0
73,1,74,30.0,0.5149815,3.6299877,30.0
74,1,75,30.0,0.588994,0.13107471,30.0
75,1,76,30.0,0.5628345,4.191794,30.0
76,1,77,30.0,0.57670695,0.4332953,30.0
77,1,78,30.0,0.50635654,0.0,30.0
78,1,79,30.0,0.50298107,0.0,30.0
79,1,80,30.0,0.6081867,3.0329905,30.0
80,1,81,30.0,0.6218814,1.095531,30.0
81,1,82,30.0,0.64071214,2.2322047,30.0
82,1,83,30.0,0.60146284,0.7618699,30.0
83,1,84,30.0,0.17405932,0.0,30.0
84,1,85,30.0,0.21186003,3.469447e-15,30.0
85,1,86,30.0,0.3659721,0.00051037356,30.0
86,1,87,30.0,0.46654186,0.04063334,30.0
87,1,88,30.0,0.48878637,0.04432523,30.0
88,1,89,30.0,0.5351171,1.9988768,30.0
89,1,90,30.0,0.5003759,0.26906744,30.0
90,1,91,30.0,0.32608056,0.0,30.0
91,1,92,30.0,0.35636556,0.0,30.0
92,1,93,30.0,0.48860815,0.22498006,30.0
93,1,94,30.0,0.5358496,4.2015457,30.0
94,1,95,30.0,0.56488127,0.0006972869,30.0
95,1,96,30.0,0.5106676,0.5512061,30.0
96,1,97,30.0,0.58248174,3.2352612,30.0
97,1,98,30.0,0.62978935,9.557332,30.0
98,1,99,30.0,0.64470077,1.8061306,30.0
99,1,100,30.0,0.6568211,0.21132989,30.0
100,1,101,30.0,0.54266715,0.20251435,30.0
101,1,102,30.0,0.53093886,0.09409514,30.0
102,1,103,30.0,0.5692266,2.3414462,30.0
103,1,104,30.0,0.6765075,8.903938,30.0
104,1,105,30.0,0.659009,0.7868057,30.0
105,1,106,30.0,0.57726467,0.096552126,30.0
106,1,107,30.0,0.5816254,0.0019848556,30.0
107,1,108,30.0,0.62171763,4.1130676,30.0
108,1,109,30.0,0.5901209,0.55528116,30.0
109,1,110,30.0,0.61445594,8.458286,30.0
110,1,111,30.0,0.6006398,0.17830215,30.0
111,1,112,30.0,0.5567304,3.469447e-15,30.0
112,1,113,30.0,0.5506802,0.45065516,30.0
113,1,114,30.0,0.541042,0.0030623726,30.0
114,1,115,30.0,0.5815326,1.1707792,30.0
115,1,116,30.0,0.5957165,3.4761715,30.0
116,1,117,30.0,0.5997193,2.3579638,30.0
117,1,118,30.0,0.5796358,0.15141803,30.0
118,1,119,30.0,0.5593889,1.1745983,30.0
119,1,120,30.0,0.6075136,0.49500352,30.0
120,1,121,30.0,0.6147116,1.8008547,30.0
121,1,122,30.0,0.59273726,0.11278251,30.0
122,1,123,30.0,0.5817775,0.0031173085,30.0
123,1,124,30.0,0.5887201,0.20272343,30.0
124,1,125,30.0,0.5494217,0.8165319,30.0
125,1,126,30.0,0.697298,10.468733,30.0
126,1,127,30.0,0.6255029,3.469447e-15,30.0
127,1,128,30.0,0.6044101,0.01468501,30.0
128,1,129,30.0,0.58636147,0.06947073,30.0
129,1,130,30.0,0.66127044,20.137411,30.0
130,1,131,30.0,0.8587338,35.472393,30.0
131,1,132,30.0,0.7612865,0.25852454,30.0
132,1,133,30.0,0.7208798,0.22147387,30.0
133,1,134,30.0,0.6998345,0.0783639,30.0
134,1,135,30.0,0.68187577,0.16263574,30.0
135,1,136,30.0,0.71225053,1.7607676,30.0
136,1,137,30.0,0.80187434,0.6305929,30.0
137,1,138,30.0,0.74992424,0.09439527,30.0
138,1,139,30.0,0.66659844,0.41757688,30.0
139,1,140,30.0,0.6611631,0.54169786,30.0
140,1,141,30.0,0.6645123,0.0008407608,30.0
141,1,142,30.0,0.66125494,0.12853555,30.0
142,1,143,30.0,0.7099587,0.24149482,30.0
143,1,144,30.0,0.6338906,0.18324685,30.0
144,1,145,30.0,0.65534765,0.1964378,30.0
145,1,146,30.0,0.7738706,8.145548,30.0
146,1,147,30.0,0.7673505,6.065974,30.0
147,1,148,30.0,0.7560963,0.12040836,30.0
148,1,149,30.0,0.6817017,0.105075896,30.0
149,1,150,30.0,0.69721204,0.26358026,30.0
150,1,151,30.0,0.6714123,0.042939574,30.0
151,1,152,30.0,0.7201139,1.5577334,30.0
152,1,153,30.0,0.73226684,3.3440576,30.0
153,1,154,30.0,0.7434843,3.7548823,30.0
154,1,155,30.0,0.6705983,0.28015485,30.0
155,1,156,30.0,0.6293808,0.104847915,30.0
156,1,157,30.0,0.74869734,0.7865588,30.0
157,1,158,30.0,0.6979793,0.28910795,30.0
158,1,159,30.0,0.6322943,0.09748946,30.0
159,1,160,30.0,0.6872694,0.83730066,30.0
160,1,161,30.0,0.72595316,5.0775576,30.0
161,1,162,30.0,0.70566905,0.122745395,30.0
162,1,163,30.0,0.67085016,0.14263354,30.0
163,1,164,30.0,0.61732066,0.27384892,30.0
164,1,165,30.0,0.65023446,1.6581839,30.0
165,1,166,30.0,0.61880505,0.85639614,30.0
166,1,167,30.0,0.6819141,0.082175225,30.0
167,1,168,30.0,0.71729314,3.2710755,30.0
168,1,169,30.0,0.74263084,17.532078,30.0
169,1,170,30.0,0.7615052,12.58922,30.0
170,1,171,30.0,0.6885791,0.035312902,30.0
171,1,172,30.0,0.8320761,12.271086,30.0
172,1,173,30.0,0.7807543,1.950084,30.0
173,1,174,30.0,0.7998678,11.394231,30.0
174,1,175,30.0,0.88773054,27.299932,30.0
175,1,176,30.0,0.81979555,2.787411,30.0
176,1,177,30.0,0.8097455,3.4327145,30.0
177,1,178,30.0,0.78833336,0.6016405,30.0
178,1,179,30.0,0.8142969,0.6701319,30.0
179,1,180,30.0,0.81619704,9.247818,30.0
180,1,181,30.0,0.88416046,11.088503,30.0
181,1,182,30.0,0.87063795,38.709396,30.0
182,1,183,30.0,0.8441588,0.77409685,30.0
183,1,184,30.0,0.8297147,5.084338,30.0
184,1,185,30.0,0.8398439,5.096096,30.0
185,1,186,30.0,0.85654163,1.8232133,30.0
186,1,187,30.0,0.8493628,1.7941281,30.0
187,1,188,30.0,0.7852594,0.6059975,30.0
188,1,189,30.0,0.8119177,6.9096684,30.0
189,1,190,30.0,0.774319,2.1051912,30.0
190,1,191,30.0,0.8155162,0.21841851,30.0
191,1,192,30.0,0.8177107,4.2704983,30.0
192,1,193,30.0,0.8582189,6.7092414,30.0
193,1,194,30.0,0.8035506,0.6384439,30.0
194,1,195,30.0,0.77170616,0.119402185,30.0
195,1,196,30.0,0.7837101,0.75169444,30.0
196,1,197,30.0,0.8199827,5.2358923,30.0
197,1,198,30.0,0.85109216,12.667784,30.0
198,1,199,30.0,0.86645764,4.803923,30.0
199,1,200,30.0,0.8103391,1.5166843,30.0
200,1,201,30.0,0.8477223,1.7286658,30.0
201,1,202,30.0,0.84131926,11.420582,30.0
202,1,203,30.0,0.8759961,2.0565658,30.0
203,1,204,30.0,0.77855676,1.995751,30.0
204,1,205,30.0,0.83515644,9.430377,30.0
205,1,206,30.0,0.8922191,14.5230255,30.0
206,1,207,30.0,0.87610745,10.548565,30.0
207,1,208,30.0,0.8507304,0.33360323,30.0
208,1,209,30.0,0.84490144,6.8339543,30.0
209,1,210,30.0,0.8245037,3.569165,30.0
210,1,211,30.0,0.829009,5.4977965,30.0
211,1,212,30.0,0.8172127,2.4327419,30.0
212,1,213,30.0,0.75281465,0.04229312,30.0
213,1,214,30.0,0.7929073,0.4472914,30.0
214,1,215,30.0,0.8680067,8.929361,30.0
215,1,216,30.0,0.8489378,7.6037865,30.0
216,1,217,30.0,0.80460364,1.099233,30.0
217,1,218,30.0,0.8208388,0.63837564,30.0
218,1,219,30.0,0.879806,11.873405,30.0
219,1,220,30.0,0.81389654,0.7252827,30.0
220,1,221,30.0,0.76982105,2.4996765,30.0
221,1,222,30.0,0.7941678,4.2994843,30.0
222,1,223,30.0,0.80795574,5.262968,30.0
223,1,224,30.0,0.7845943,4.8506165,30.0
224,1,225,30.0,0.88266313,11.37419,30.0
225,1,226,30.0,0.86566126,15.607628,30.0
226,1,227,30.0,0.8166068,0.8949614,30.0
