node_id,phase,year,round,start_day,coverage
1,pickup,2016,1,5325,0.64
1,pickup,2016,2,5355,0.55
1,pickup,2017,1,5691,0.74
1,pickup,2017,2,5721,0.65
1,pickup,2017,3,5751,0.54
1,pickup,2017,4,5781,0.5
1,pickup,2018,1,6057,0.8
1,pickup,2018,2,6087,0.76
1,pickup,2018,3,6117,0.7
1,pickup,2018,4,6147,0.65
1,pickup,2019,1,6423,0.85
1,pickup,2019,2,6453,0.79
1,pickup,2019,3,6483,0.7
1,pickup,2019,4,6513,0.65
1,pickup,2020,1,6789,0.89
1,pickup,2020,2,6819,0.87
1,pickup,2020,3,6849,0.84
1,pickup,2020,4,6879,0.81
1,pickup,2021,1,7155,0.89
1,pickup,2021,2,7185,0.87
1,pickup,2021,3,7215,0.84
1,pickup,2021,4,7245,0.81
1,pickup,2022,1,7510,0.89
1,pickup,2022,2,7540,0.87
1,pickup,2022,3,7570,0.84
1,pickup,2022,4,7600,0.81
