node_id,phase,year,round,start_day,coverage
1,pickup,2015,1,605,0.64
1,pickup,2015,2,635,0.73
1,pickup,2015,3,665,0.77
1,pickup,2015,4,695,0.80
1,pickup,2016,1,970,0.64
1,pickup,2016,2,1000,0.73
1,pickup,2017,1,1335,0.75
1,pickup,2017,2,1365,0.77
1,pickup,2017,3,1395,0.80
1,pickup,2017,4,1425,0.82
1,pickup,2018,1,1700,0.77
1,pickup,2018,2,1730,0.77
1,pickup,2018,3,1760,0.78
1,pickup,2018,4,1790,0.81
1,pickup,2019,1,2065,0.77
1,pickup,2019,2,2095,0.77
1,pickup,2019,3,2125,0.78
1,pickup,2019,4,2155,0.81
1,pickup,2020,1,2430,0.77
1,pickup,2020,2,2460,0.77
1,pickup,2020,3,2490,0.78
1,pickup,2020,4,2520,0.81
1,pickup,2021,1,2802,0.77
1,pickup,2021,2,2832,0.77
1,pickup,2021,3,2862,0.78
1,pickup,2021,4,2892,0.81
1,pickup,2022,1,3160,0.77
1,pickup,2022,2,3190,0.77
1,pickup,2022,3,3220,0.78
1,pickup,2022,4,3250,0.81
